nama,nip_atau_nik,role_type,nama_kelas
Chandra Hidayat,19720428205907,WALI_KELAS,X-TKJ-1
Indah Hartanto,19900606488162,WALI_KELAS,X-TKJ-2
Galuh Jaelani,19781222779514,WALI_KELAS,XI-TKJ-1
Wahyu Ismail,19750924356702,WALI_KELAS,XII-TKJ-1
Purnomo Utama,19781123684004,WALI_KELAS,X-RPL-1
Zainul Saputra,19960108961722,WALI_KELAS,X-RPL-2
Dimas Saputra,19820503321231,WALI_KELAS,XI-RPL-1
Galuh Ismail,19850721581141,WALI_KELAS,XII-RPL-1
Joko Suharto,19771218665158,WALI_KELAS,X-MM-1
Ayu Firmansyah,19831013479580,WALI_KELAS,XI-MM-1
Fajar Mulyono,19850225149405,WALI_KELAS,XII-MM-1
Fajar Ismail,19751114725380,WALI_KELAS,X-AK-1
Nanda Utama,19890817363626,WALI_KELAS,X-AK-2
Zainul Laksono,19731118887352,WALI_KELAS,XI-AK-1
Bella Ismail,19800210555884,WALI_KELAS,XII-AK-1
Purnomo Santoso,19931209624902,WALI_KELAS,X-MP-1
Sandi Ramadan,19731110982554,WALI_KELAS,XI-MP-1
Fajar Permana,19940318916449,WALI_KELAS,XII-MP-1
Wahyu Saputra,19850104480612,WALI_KELAS,X-TM-1
Hani Wijaya,19771003189814,WALI_KELAS,XI-TM-1
Fira Pratama,19940925231869,WALI_KELAS,XII-TM-1
Zainul Prabowo,19870309653306,WALI_KELAS,X-TE-1
Galuh Ramadan,19871223310922,WALI_KELAS,XI-TE-1
Maya Jaelani,19900615642717,WALI_KELAS,XII-TE-1
Dewi Setiawan,19770211122056,WALI_KELAS,X-GBR-1
Umar Setiawan,19700223761759,WALI_KELAS,XI-GBR-1
Irfan Pratama,19980128446479,WALI_KELAS,XII-GBR-1
Sandi Setiawan,19781116324643,WALI_KELAS,X-OTDA-1
Bambang Ramadan,19981019595631,WALI_KELAS,XI-OTDA-1
Dimas Prabowo,19950707198907,WALI_KELAS,XII-OTDA-1
