nama,nip_atau_nik,role_type,kode_program,teacher_code
Zainul Suryadi,19810714589710,GURU,,ZS
Zainul Ismail,19900202522179,GURU,,ZI
Dian Pahlevi,19730407299448,GURU,,DP
Eka Suryadi,19750515361941,GURU,,ES
Purnomo Nurdiana,19970904153045,GURU,,PN
Dedi Ramadan,19940406526156,GURU,,DR
Rina Rahayu,19970702272634,GURU,,RR
Ani Utama,19780810543555,GURU,,AU
Eka Rahayu,19790402707314,GURU,,ER
Bambang Saputra,19710119599948,GURU,,BS
Budi Mulyono,19720303723939,GURU,,BM
Zainul Pahlevi,19770704697347,GURU,,ZP
Umar Hakim,19711003539589,GURU,,UH
Intan Nugroho,19761123429445,GURU,,IN
Joko Utama,19741121414569,GURU,,JU
Kartika Ramadan,19940201580547,GURU,,KR
Dedi Gunardi,19760909238890,GURU,,DG
Hilda Pratama,19980412398830,GURU,,HP
Purnomo Oktavia,19871210741390,GURU,,PO
Zainul Oktavia,19870522208618,GURU,,ZO
Joko Kusuma,19980224680097,GURU,TKJ,JK
Joko Hidayat,19890423459536,GURU,TKJ,JH
Gilang Nugroho,19860809987204,GURU,TKJ,GN
Dedi Ismail,19830502103717,GURU,TKJ,DI
Bella Suharto,19900506877236,GURU,TKJ,BS01
Tika Kurnia,19830901217308,GURU,TKJ,TK
Hadi Kurnia,19980318137778,GURU,TKJ,HK
Utami Gunardi,19740705143860,GURU,TKJ,UG
Lestari Qodir,19990112320281,GURU,RPL,LQ
Zainul Kusuma,19810928526117,GURU,RPL,ZK
Ivan Ramadan,19770326950155,GURU,RPL,IR
Hadi Suryadi,19700324448321,GURU,RPL,HS
Dian Jaelani,19971226360222,GURU,MM,DJ
Fitri Nurdiana,19920213140605,GURU,MM,FN
Hani Rahayu,19960812420015,GURU,AK,HR
Irfan Santoso,19910413444207,GURU,AK,IS
Gita Pratama,19940512772642,GURU,AK,GP
Yuni Oktavia,19870601220944,GURU,AK,YO
Fitri Firmansyah,19780104725550,GURU,AK,FF
Lestari Laksono,19950614735656,GURU,AK,LL
Nanda Qodir,19880409146542,GURU,MP,NQ
Ani Mulyono,19990922854377,GURU,MP,AM
Muhamad Suryadi,19721111753425,GURU,TM,MS
Yuni Pahlevi,19731210631756,GURU,TM,YP
Yuni Suryadi,19800723410016,GURU,TE,YS
Hendra Suryadi,19910722884475,GURU,GBR,HS01
Wahyu Firmansyah,19790718974224,GURU,OTDA,WF
Kurniawan Hidayat,19760726708158,GURU,OTDA,KH
Putri Hartanto,19910417596171,GURU,,PH
Zainul Pratama,19861121749342,GURU,,ZP01
Citra Oktavia,19910508945742,GURU,,CO
Fajar Santoso,19770820991014,GURU,,FS
Purnomo Suryadi,19880423830180,GURU,,PS
Rina Utama,19741123105814,GURU,,RU
Chandra Suryadi,19751217587115,GURU,,CS
Taufik Setiawan,19840326587213,GURU,,TS
Bella Qodir,19891217547470,GURU,,BQ
Hilda Wibowo,19840525359249,GURU,,HW
Bella Mahendra,19851108387936,GURU,,BM01
Citra Kurnia,19770511435239,GURU,,CK
Fajar Suharto,19821205840734,GURU,,FS01
Dedi Suryadi,19800915535970,GURU,,DS
Hendra Oktavia,19821023120480,GURU,,HO
Rina Santoso,19790728976325,GURU,,RS
Tika Laksono,19951008611945,GURU,,TL
Joko Suryadi,19700711801364,GURU,,JS
Ayu Wibowo,19990320660069,GURU,,AW
Umar Firmansyah,19700221549433,GURU,,UF
Gilang Hartanto,19710513443254,GURU,,GH
Purnomo Saputra,19940709888539,GURU,,PS01
Indah Oktavia,19850124665621,GURU,,IO
Muhamad Setiawan,19721102890870,GURU,,MS01
Irfan Rahayu,19890308232352,GURU,,IR01
Yuni Kusuma,19760823368690,GURU,,YK
Fitri Hakim,19931204915573,GURU,,FH
Kurniawan Kusuma,19700519810250,GURU,,KK
