nama_ortu,nik,nis_siswa
Ahmad Prabowo,33954903837468,19038
Gita Firmansyah,33841308586288,65057
Gilang Kurnia,33613306757258,57472
Juwita Suryadi,33449910668784,67080
Ivan Jaelani,33561602501557,95256
Galuh Mahendra,33385106380345,80539
Lestari Hartanto,33727409969856,87656
Taufik Jaelani,33784708751114,42177
Galuh Qodir,33682102509660,69087
Gilang Rahayu,33769001407410,84691
Yuni Gunardi,33267006540538,74789
Galuh Pratama,33123909775987,37802
Wulan Nurdiana,33517210798199,54608
Lestari Hidayat,33162806398196,46211
Kartika Firmansyah,33266605487629,21221
Lukman Suharto,33107909447372,74038
Eka Nurdiana,33826606822622,94659
Irfan Nurdiana,33453501187649,12260
Maya Rahayu,33725010734470,63005
Kurniawan Permana,33544908688285,86225
Chandra Utama,33211007769836,79588
Tika Hartanto,33822704295041,82140
Fira Oktavia,33488405618101,69473
Indah Prabowo,33188612479332,40217
Indah Wibowo,33841703435209,51359
Eka Permana,33301605478707,34267
Juwita Hidayat,33779102638828,73464
Eko Gunardi,33845503113524,88222
Irfan Oktavia,33348110823153,35443
Eko Oktavia,33261208465124,33519
Vina Mulyono,33533212419484,80010
Fajar Pahlevi,33982812337580,17146
Rina Mahendra,33651504213054,74340
Hadi Rahayu,33339506130680,85243
Agus Rahayu,33463109104539,67733
Gunawan Oktavia,33555807324682,43092
Agus Hidayat,33811502444053,74454
Nina Hidayat,33643402981913,99974
Fitri Pratama,33563506309991,42530
Lestari Prabowo,33958707608069,64548
Dewi Nugroho,33727304758894,59856
Ahmad Kusuma,33161808811047,48974
Wahyu Jaelani,33512905752179,91399
Sandi Mahendra,33736904407823,23006
Kartika Nurdiana,33797901901075,44687
Oki Qodir,33255908429839,32782
Juwita Kurnia,33597202696487,63545
Utami Prabowo,33708103631297,71592
Rahmat Firmansyah,33588811469899,47762
Kartika Wijaya,33138501234425,69510
Kartika Utama,33226406474725,44675
Utami Pratama,33981805220031,81376
Sari Nurdiana,33955303744693,44816
Galuh Prabowo,33911909324479,31747
Maya Nurdiana,33388912196424,84607
Muhamad Nurdiana,33199305629152,71433
Zahra Mulyono,33338308323297,45683
Indah Ramadan,33917810994199,88385
Galuh Permana,33692804257782,13390
Gita Suryadi,33625002764721,85392
Dimas Oktavia,33496908687019,45325
Hilda Wijaya,33353005243057,32962
Dimas Nugroho,33948003775591,67963
Budi Pahlevi,33205010412453,74451
Hadi Permana,33959402516174,63523
Umar Laksono,33742509796482,23710
Citra Setiawan,33862506445281,74942
Dian Laksono,33406404251286,82102
Gilang Firmansyah,33177209492906,51224
Dimas Ramadan,33285608850435,62976
Ayu Jaelani,33169811351318,64165
Ani Ramadan,33604205194634,57419
Kurniawan Rahayu,33306611432591,16764
Bella Prabowo,33706206852233,27172
Hilda Ramadan,33223012373646,73532
Nanda Rahayu,33904906703779,89806
Agus Mahendra,33932610819064,50730
Utami Oktavia,33514604188498,22217
Hani Ramadan,33216904374499,24871
Fajar Pratama,33573110223050,30181
Nanda Suharto,33653610326037,48254
Fitri Suryadi,33281305374516,73242
Wahyu Hartanto,33415710817506,60277
Citra Santoso,33702706826687,76616
Indah Pratama,33228101154644,46208
Yuni Nurdiana,33861501365978,45018
Juwita Utama,33955703686741,49132
